"marka_kodu","tip_kodu","marka_adi","tip_adi","sifir_fiyat_id","eslestirme_yontem","eslestirme_skor","sf_marka_adi","sf_model_adi","sf_versiyon","sf_yakit","sf_vites","sf_guc","sf_liste_fiyati","sf_kampanya_fiyati","sf_scrape_date","updated_at"
"21","2056","BMW","520d XDRIVE SEDAN (197) EDITION M SPORT","364","fiyat_exact","100","BMW","5 Serisi Sedan","Edition M Sport BMW 520d xDrive Sedan","Mild Hibrit","Otomatik","197","12387400",,"2026-06-16","2026-06-17T19:01:14.013489+00:00"
"21","1984","BMW","520d XDRIVE SEDAN (197) M SPORT","363","fiyat_exact","100","BMW","5 Serisi Sedan","M Sport 520d xDrive Mild Hybrid-Dizel 197 BG","Mild Hibrit","Otomatik","197","11254800",,"2026-06-16","2026-06-17T19:01:13.621548+00:00"
"21","2052","BMW","520i SEDAN 1.6 (190) EDITION M SPORT","362","fiyat_exact","100","BMW","5 Serisi Sedan","Edition M Sport BMW 520i Sedan","Benzin","Otomatik","190","9023100",,"2026-06-16","2026-06-17T19:01:14.013489+00:00"
"21","2010","BMW","520i SEDAN 1.6 (190) M SPORT","361","fiyat_exact","100","BMW","5 Serisi Sedan","M Sport BMW 520i Sedan","Benzin","Otomatik","190","8479100",,"2026-06-16","2026-06-17T19:01:13.721706+00:00"
"21","1952","BMW","740d XDRIVE 3.0 (300) M EXCELLENCE","366","fiyat_exact","100","BMW","7 Serisi","M Excellence 740d xDrive Mild Hybrid - Dizel 300 BG","Mild Hibrit","Otomatik","300","21870500",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","1951","BMW","740d XDRIVE 3.0 (300) PURE EXCELLENCE","365","fiyat_exact","100","BMW","7 Serisi","Pure Excellence 740d xDrive Mild Hybrid - Dizel 300 BG","Mild Hibrit","Otomatik","300","20818200",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","1763","BMW","840i XDRIVE CABRIO M SPORT",,,,,,,,,,,,,"2026-06-17T19:01:13.429932+00:00"
"21","1761","BMW","840i XDRIVE COUPE M SPORT",,,,,,,,,,,,,"2026-06-17T19:01:13.429932+00:00"
"21","1788","BMW","840i XDRIVE GRAN COUPE M SPORT",,,,,,,,,,,,,"2026-06-17T19:01:13.429932+00:00"
"21","1990","BMW","i4 EDRIVE40 EDITION M SPORT (160KW)","391","fiyat_exact","100","BMW","İ4","Edition M Sport   BMW i4 eDrive40","Elektrik","Otomatik","205","6643800",,"2026-06-16","2026-06-17T19:01:13.621548+00:00"
"21","1987","BMW","i4 EDRIVE40 M SPORT (160KW)","390","fiyat_exact","100","BMW","İ4","M Sport BMW i4 eDrive40","Elektrik","Otomatik","205","6032400",,"2026-06-16","2026-06-17T19:01:13.621548+00:00"
"21","2050","BMW","i4 EDRIVE40 SPORT LINE (160KW)","389","fiyat_exact","100","BMW","İ4","Sport Line   BMW i4 eDrive40","Elektrik","Otomatik","205","5430800",,"2026-06-16","2026-06-17T19:01:14.013489+00:00"
"21","2057","BMW","i5 EDRIVE40 EDITION M SPORT (160KW)","404","fiyat_exact","100","BMW","İ5","Edition M Sport BMW i5 eDrive40","Elektrik","Otomatik","0","7614200",,"2026-06-16","2026-06-17T19:01:14.013489+00:00"
"21","1986","BMW","i5 EDRIVE40 M SPORT (160KW)","403","fiyat_exact","100","BMW","İ5","M Sport  i5 eDrive40","Elektrik","Otomatik",,"7168200",,"2026-06-16","2026-06-17T19:01:13.621548+00:00"
"21","1985","BMW","i5 M60 xDRIVE","409","fiyat_exact","100","BMW","İ5","M M60 81.2 kWh (601 bg) xDrive","Elektrik","Otomatik","253 kW","9840100",,"2026-06-16","2026-06-17T19:01:13.621548+00:00"
"21","2015","BMW","i5 M60 XDRIVE TOURING M","410","fiyat_exact","100","BMW","İ5","M BMW i5 M60 xDrive Touring","Elektrik","Otomatik","442 kW","9929500",,"2026-06-16","2026-06-17T19:01:13.819857+00:00"
"21","2058","BMW","i5 XDRIVE40 EDITION M SPORT (290 KW)","407","fiyat_exact","100","BMW","İ5","Edition M Sport BMW i5 xDrive40","Elektrik","Otomatik","0","8412700",,"2026-06-16","2026-06-17T19:01:14.116815+00:00"
"21","2008","BMW","i5 XDRIVE40 M SPORT (290 KW)","405","fiyat_exact","100","BMW","İ5","M Sport  i5 xDrive40","Elektrik","Manuel",,"7997000",,"2026-06-16","2026-06-17T19:01:13.721706+00:00"
"21","2059","BMW","i5 XDRIVE40 TOURING EDITION M SPORT (290KW)","408","fiyat_exact","100","BMW","İ5","Edition M Sport BMW i5 xDrive40 Touring","Elektrik","Otomatik","0","8575300",,"2026-06-16","2026-06-17T19:01:14.116815+00:00"
