"sifir_id","marka_adi","model_adi","versiyon","yakit","vites","guc_hp","liste_fiyati","kampanya_fiyati","tsb_tip_kodu","tsb_tip_adi","eslestirme","skor"
"1031","Renault","Trafic Panelvan","Grand Confort 6m3 2.0 Blue dCi 150 bg D-Full","Dizel","Manuel","150","1925000","0","2323","TRAFIC PANELVAN G. COMF. L2 2.0 B.DCI 150","fiyat_exact","100"
"1032","Renault","Trafic Panelvan","Grand Confort 6m3 L2 2.0 Blue dCi EAG9 170 bg","Dizel","Otomatik","170","2004000","0","2318","TRAFIC PANELVAN G. COMF. L2 2.0 B.DCI EA9 170","fiyat_exact","100"
"1038","Seat","Arona","Style Plus 1.0 TSI 116 PS DSG","Benzin","Otomatik","116","1968000","0","1160","ARONA FL 1.0 TSI 116 DSG STYLE PLUS","fiyat_exact","100"
"1040","Seat","Ateca","Style Plus 1.5 EcoTSI ACT 150 HP DSG","Benzin","Otomatik","150","2561000","0","1159","ATECA 1.5 TSI ACT 150 DSG STYLE PLUS","fiyat_exact","100"
"1039","Seat","İbiza","Style Plus 1.0 TSI 116 PS DSG","Benzin","Otomatik","116","1821000","0","1161","IBIZA FL 1.0 TSI 116 DSG STYLE PLUS","fiyat_exact","100"
"1041","Seat","Leon","Style 1.5 eTSI 116PS DSG","Mild Hibrit","Otomatik","116","2930150","0","1162","LEON 1.5 eTSI 116 DSG STYLE FL","hp_model","55"
"1063","Skoda","Elroq","ePrestige 60","Elektrik","Otomatik","150","3199900","3349900","1339","ELROQ 60 E-PRESTIGE 204","fiyat_exact","100"
"1081","Skoda","Enyaq","ePrestige 60 204 PS","Elektrik","Otomatik","150","3849900","3562300","1342","ENYAQ 60 E-PRESTIGE 204","fiyat_exact","100"
"1080","Skoda","Enyaq Coupé","e-Sportline 60 204 PS","Elektrik","Otomatik","150","3949900","3654800","1340","ENYAQ COUPE 60 E-SPORTLINE 204","fiyat_exact","100"
"1079","Skoda","Enyaq Coupé","e-Sportline 85x 285 PS","Elektrik","Otomatik","210","5349900","0","1344","ENYAQ COUPE e-RS 340 4x4","fiyat_exact","100"
"1065","Skoda","Fabia","Premium 1.0 TSI 115 PS DSG","Benzin","Otomatik","110","1874900","1764800","1312","FABIA 1.0 TSI 115 DSG PREMIUM","fiyat_exact","100"
"1064","Skoda","Fabia","Monte Carlo 1.5 TSI ACT 150 PS DSG","Benzin","Otomatik","150","2269900","0","1300","FABIA 1.5 TSI ACT 150 DSG MONTE CARLO","fiyat_exact","100"
"1044","Skoda","Kamiq","Elite 1.0 TSI 115 PS DSG","Benzin","Otomatik","115","2099900","1864200","1307","KAMIQ 1.0 TSI 115 DSG ELITE FL","fiyat_exact","100"
"1042","Skoda","Kamiq","Premium 1.0 TSI 115 PS DSG","Benzin","Otomatik","115","2344900","0","1309","KAMIQ 1.0 TSI 115 DSG PREMIUM FL","fiyat_exact","100"
"1043","Skoda","Kamiq","Premium 1.5 TSI ACT 150 PS DSG","Benzin","Otomatik","150","2609900","0","1310","KAMIQ 1.5 TSI ACT 150 DSG PREMIUM FL","fiyat_exact","100"
"1045","Skoda","Kamiq","Monte Carlo 1.5 TSI ACT 150 PS DSG","Benzin","Otomatik","150","2774900","2374000","1311","KAMIQ 1.5 TSI ACT 150 DSG MONTE CARLO FL","fiyat_exact","100"
"1072","Skoda","Karoq","Premium 1.5 TSI ACT 150 PS DSG","Elektrik","Yarı Otomatik","13 kW","3249900","0","1321","KAROQ FL 1.5 TSI ACT 150 DSG PREMIUM","fiyat_exact","100"
"1073","Skoda","Karoq","Prestige 1.5 TSI ACT 150 PS DSG","Benzin","Otomatik","150","3569900","3203700","1291","KAROQ FL 1.5 TSI ACT 150 DSG PRESTIGE","fiyat_exact","100"
"1074","Skoda","Karoq","Sportline 1.5 TSI ACT 150 PS DSG","Elektrik","Yarı Otomatik","13 kW","3669900","3293400","1292","KAROQ FL 1.5 TSI ACT 150 DSG SPORTLINE","fiyat_exact","100"
"1069","Skoda","Kodiaq","Premium 1.5 TSI 150 PS DSG","Benzin","Otomatik","150","3999400","3705500","1332","KODIAQ PREMIUM 1.5 TSI MHEV 150 DSG","fiyat_exact","100"
"1070","Skoda","Kodiaq","Prestige 1.5 TSI 150 PS DSG","Benzin","Otomatik","150","4624900","4099900","1323","KODIAQ PRESTIGE 1.5 TSI MHEV 150 DSG","fiyat_exact","100"
"1071","Skoda","Kodiaq","Sportline 1.5 TSI 150 PS DSG","Benzin","Otomatik","150","4774900","4541700","1336","KODIAQ SPORTLINE 1.5 TSI MHEV 150 DSG","fiyat_exact","100"
"1066","Skoda","Kodiaq","Prestige 2.0 TDI SCR 193 PS DSG 4x4","Dizel","Otomatik","193","6624900","0","1333","KODIAQ PRESTIGE 2.0 TDI SCR 193 DSG 4x4","fiyat_exact","100"
"1067","Skoda","Kodiaq","Sportline 2.0 TDI SCR 193 PS DSG 4x4","Dizel","Otomatik","193","6874900","0","1337","KODIAQ SPORTLINE 2.0 TDI SCR 193 DSG 4x4","fiyat_exact","100"
"1068","Skoda","Kodiaq","RS 2.0 TSI 265 PS DSG 4x4","Benzin","Otomatik","265","7224900","0","1338","KODIAQ RS 2.0 TSI 265 DSG 4x4","fiyat_exact","100"
"1056","Skoda","Octavia","Elite  1.5 TSI mHEV 150 PS DSG","Mild Hibrit","Otomatik","150","2734900","0","1324","OCTAVIA ELITE 1.5 TSI MHEV 150 DSG FL","fiyat_exact","100"
